,PageLink,Title,Article,Date,Topic
0,https://www.flightglobal.com/defence/armed-chinese-uavs-arrive-for-serbian-air-force-duty/139200.article,Armed Chinese UAVs arrive for Serbian air force duty,"Serbia has taken delivery of six China Aerospace Science and Technology-built Cai Hong (""Rainbow"") CH-92As, marking the first acquisition of a Chinese armed unmanned air vehicle by a European military. Recently displayed to military officials at Batajnica airbase, the tactical UAVs can be armed with the FT-8C laser-guided missile, which the defence ministry says has an effective range of up to 3.7nm (6.8km). Serbian defence officials say the nation has acquired ""two complete systems, including six drones"", along with an initial 12 FT-8C weapons. However, they note that work with Chinese counterparts to transfer technology including avionics equipment for integration with Belgrade's developmental Pegaz (""Pegasus"") UAV is ""much more significant than purchase itself"". Two Pegaz prototypes are to be redesigned in China by year-end, and an order for 12 examples is anticipated. Serbian air force chief General Dusko Zarkovic says that an acquisition of six more armed UAVs would be ""optimal"" for the service. Using the type, it plans to re-establish its 353rd reconnaissance squadron, which previously operated versions of the Soko J-22 Orao and Mikoyan MiG-21. Meanwhile, Nenad Miloradovic, assistant minister responsible for defence technologies and procurement says the nation is planning to develop its own platform ""larger than CH-92"", along with a laser-guided missile to arm the type.",8-Jul-20,"Defence, Europe, Military UAVs"
1,https://www.flightglobal.com/defence/skeldar-v-200-selected-for-belgian/dutch-navy-programme/139197.article,Skeldar V-200 selected for Belgian/Dutch navy programme,"UMS Skeldar has secured its third deal within two years to equip NATO navies with its Skeldar V-200 unmanned air vehicle (UAV), after being selected for a joint requirement for Belgium and the Netherlands. From 2023, the company will supply an undisclosed number of UAVs, which will be employed as part of a so-called ""toolbox” of unmanned systems performing mine countermeasures duties. Also including surface and underwater vehicles and sensors, the equipment will be used by six vessels operated by each of the nations. The V-200's selection by unmanned service provider ECA Group was announced on 8 July, and follows earlier deals to supply the type to the Canadian and German navies for maritime applications. David Willems, UMS Skeldar's vice-president business development and strategy, attributes the V-200's selection to factors including its use of ""the best heavy-fuel engine in the market today”, which has a time between overhaul of 500h. With a payload capacity of 45kg (102lb), the V-200 offers a flight endurance of over 5h. Willems declines to reveal the payload to be carried by the UAV for the Belgian/Dutch requirement, but notes: ""the concept of operations and some of the sensor suite are new for Skeldar”. ""We are going to be providing aerial support for surface and underwater drones,” he says. ""One of the key missions is to provide situational awareness to the ship, and help with communications.” Pointing to the company's previous successes with Canada and Germany, he notes: ""We are now in a leading position with the global NATO navies.” Antony Penn, communication and business development director for ECA Robotics, says the UAV's ""robust and reliable capabilities, and proven track record in the maritime domain” led to its selection. Penn notes that a range of equipment within the unmanned toolbox framework can be ""interchanged, according to the mission and its duration”. The 12-ship mine countermeasures programme for Belgium and the Netherlands is being delivered by Belgian Naval & Robotics and Naval Group, following a selection in 2019. A preliminary design review is scheduled for December, with vessel deliveries to commence in 2024.",8-Jul-20,"Defence, Military UAVs"
2,https://www.flightglobal.com/air-transport/superjet-starts-flight-tests-with-domestic-inertial-navigation-system/139198.article,Superjet starts flight tests with domestic inertial navigation system,"Irkut has commenced testing of a domestically-built inertial navigation system which will feature on a modified version of the Superjet 100. The system – known as the BINS-2015 – is intended to replace the foreign-supplied equipment used on serial Superjet aircraft. Irkut, which has absorbed the Sukhoi civil aviation division that manufacturers the type, is conducting the tests as part of a broad programme of import substitution to increase Russian industrial involvement in aviation. Specialist electronics technology company KRET is providing the BINS-2015 which has been fitted to a Superjet prototype aircraft for flight tests. The work is being carried out in connection with the 'SSJ New' programme which will modify the Superjet to produce a 'Russified' version with a greater proportion of domestically-produced systems. Irkut regional aircraft deputy development director Andrei Nedosekin says the inertial navigation system – which uses precision accelerometers and laser gyroscopes – has a capability ""not inferior” to that of its foreign-built competitor. Superjet 100s are currently fitted with the Honeywell Laseref V inertial navigation system. KRET first deputy general director Vladimir Zverev says the Russian developer's equipment is ""currently being tested in the air”.",8-Jul-20,"Aerospace, Aircraft programmes, Europe, Systems & interiors"
3,https://www.flightglobal.com/programmes/iba-highlights-four-engined-widebody-pain-as-airliner-values-decline/139194.article,IBA highlights four-engined widebody pain as airliner values decline,"Aviation consultancy IBA has outlined adjustments to all its commercial airliner market values to reflect the impact of the coronavirus pandemic. Older four-engined widebodies and the Boeing 737 Max are among the worst affected, while ""uncertainty” hangs over the Airbus A380. ""Covid has had an undisputed negative effect on all commercial aircraft values, but not all of these will be permanent,” says IBA president Phil Seymour. ""Once airlines have rebalanced their fleets to cater for demand levels in the coming years, the values of certain aircraft will recover, and this is reflected in their relatively small value decline now.” The newest generation narrow- and widebody aircraft have seen the ""mildest adjustments” says IBA, ""as rising costs and environmental legislation lead operators to favour these assets over older aircraft types”. However, the outlook is less rosy for the 737 Max and older widebody types, says the consultancy. ""The Airbus A220 and the A320neo have seen a comparatively low decline in market value of 5-8%, whilst the 737 Max has seen a greater value fall as orders continue to be cancelled following its grounding last year.” Values of four-engined passenger types like the 747-400 have declined by 30-40%, says IBA Four-engined types such as the Airbus A340 and Boeing 747 have seen values declines of up to 30-40%, ""with little hope of recovery as the number of in-service aircraft continues to wind down”. IBA says the A380's future is ""uncertain” as it faces production termination next year and many airlines are opting to retire aircraft early. ""With little secondary market demand, other than for teardown to support existing fleets, its values have declined by up to 34%,” says the consultancy. IBA says that the A320ceo/A321ceo and 737-800 models are the least affected of the current generation narrowbodies, with declines of 9-16%. ""The A319-100 and 737-700 have suffered the greatest negative adjustments due to several fleet exits (A319) and a concentrated fleet (737-700),” it adds. The new-generation Airbus A350 and Boeing 787 widebodies have seen modest declines of 4-13%, says IBA. ""The most resilient variant from a value perspective is the 787-9, which has declined least due to its broad operator base, operational flexibility and medium capacity, which align well with current demand levels.” Declines among older widebody twinjets have varied, with values of certain Boeing 777 variants, ie -200 and -200LR, accelerating a downward trend that started prior to the Covid pandemic. In the regional-jet sector, IBA views the fleets operated extensively in the large US market, such as younger examples Embraer E175s and Bombardier CRJ900s, as being ""relatively insulated”. From a turboprop perspective, IBA believes the ATR family has fared best value-wise, with the ATR42-600 the least affected. ""However, the De Havilland Canada Dash8/Q400 faces a much steeper value decline due to an excess number of available aircraft following airline failures and fleet restructurings,” it says.",8-Jul-20,"Aircraft programmes, Coronavirus, Fleets"
4,https://www.flightglobal.com/airlines/saa-pilots-isolated-as-other-unions-gradually-back-severance-scheme/139193.article,SAA pilots isolated as other unions gradually back severance scheme,"South African Airways unions have largely indicated acceptance of voluntary severance packages as part of the airline's rescue, after the government warned that workers' representatives that it cannot improve on the severance offers. Cockpit union SAAPA has not followed other unions' gradual shift into accepting the proposals, but it appears increasingly isolated and is facing criticism from the government over its stance. The business rescue plan drawn up for SAA has outlined a relaunch strategy that would only have initial places for around 1,000 personnel, on amended terms and conditions. It sets out R2.2 billion ($129 million) in severance funding for workers whose positions will be made redundant if the rescue plan is accepted – a creditor vote is due on 14 July. ""It is important that we ensure that we have an airline that emerges from the business rescue plan that will not be burdened by an unsustainable agreements,” says the government's department of public enterprises. It states that the R2.2 billion budget for severance is ""the best that can be made available” given the ""massive” financial demands and constraints faced by the government. ""[We are] not in a position to accede to any further demands from sections of union leadership for additional benefits,” it adds. Four unions – the NTM, SATAWU, AUSA, and Solidarity – plus non-unionised staff had already signalled a commitment to the severance packages. Three other unions – the pilots' union SAAPA, cabin crew group SACCA, and the NUMSA organisation – had sought to address outstanding concerns over the situation and met with the department on 3 July. The three unions have been particularly resistant to the business rescue scheme and the associated employee retrenchments, which will affect around 2,700 staff. But NUMSA and SACCA have fallen into line with the other unions, leaving just the pilot association SAAPA outstanding. The department of public enterprises says it is ""a concern” that the pilots have embarked on a ""parallel process” through which they intend to consult the business rescue practitioners in an effort to obtain ""unaffordable” concessions. It says a proposal from the pilots aims to generate R290 million in cost savings, compared with the current business rescue plan. But the department has rejected this claim, stating that it believes the restructured SAA will be ""burdened” by the proposal which, it argues, will lead to expenditure that ""far exceeds this purported saving”. This additional cost presents a ""very distinct” risk, it adds, that the new airline will not be financially sustainable, and the department is urging the pilots' association to join the other unions in supporting the severance arrangement. ""[We are] not in a position to accede to any further unreasonable and greedy demands from sections of union leadership for additional benefits,” it adds. Average severance packages for pilots would amount to R1.96 million, and R352,000 for cabin crew. If the business plan is rejected, SAA faces the possibility of liquidation. The department states that ""all stakeholders, particularly employees, stand to lose” in such circumstances.",8-Jul-20,"Africa, Air Transport, South African Airways"
5,https://www.flightglobal.com/airlines/el-al-to-slash-workforce-as-part-of-rescue-package-agreements/139192.article,El Al to slash workforce as part of rescue package agreements,"Israeli flag-carrier El Al is set to shed 1,700 positions across three divisions as part of a restructuring programme. The airline says it has reached new collective agreements with its maintenance and administrative sectors. Chief executive Gonen Usishkin says the arrangement is ""another step on the road to El Al's recovery”. El Al says the maintenance and administration pacts follow a deal in June reached with cabin crew representatives. Some 1,700 jobs will be cut between the three sectors, it states. The cabin crew agreement intends to save $30 million annually through the reduction of regular and temporary flight attendants. El Al employs some 1,400 cabin crew but the Histadrut trade union centre says ""painful concession” are required. Histadrut has also been involved in negotiations with transport workers to achieve the new agreements with maintenance and administrative personnel, collectively around 4,300 employees. The organisation says that, together, the arrangements will save ""tens of millions of dollars” but will mean the workforce in both sectors will be reduced – some through ""favourable” early retirement schemes while others will receive enhanced compensation. ""These agreements represent another significant step in [achieving the strategy] for rescuing the airline,” it says, adding that they demonstrate ""responsible leadership”. Measures such as digital operations will be expanded to help improve efficiency. Histadrut says the agreements will take effect once the airline's secures a rescue package which will include a government-backed loan and the issuing of new shares. The package has depended on reaching new collective deals with personnel.",8-Jul-20,"Air Transport, El Al, Middle East"
6,https://www.flightglobal.com/fleets/cathay-pacific-mulls-parking-aircraft-outside-hong-kong/139190.article,Cathay Pacific mulls parking aircraft outside Hong Kong,"Cathay Pacific Group is considering parking some aircraft outside of its Hong Kong base to protect them from the city's hot and humid summer. The company tells Cirium it is looking into this ""for operation management reasons”. ""At the present time our aircraft are parked at Hong Kong International Airport, primarily in remote bays, taxiways and other operational areas made available at the airport,” it says. ""We are exploring alternative locations beyond Hong Kong's humid summer climate that can provide appropriate conditions for our aircraft while they are not flying. This is a prudent decision from an asset management perspective.” Cathay did not specify the number of aircraft it is considering parking outside Hong Kong. Reuters, citing an anonymous source, reported on 6 July that Cathay is examining plans to store more than 50 widebodies in drier locations like Dubai and Australia. Cirium has not independently verified that report. Cathay tells Cirium the aircraft being considered for transfer overseas are from ""a number of different fleets” within the group. Its airlines include mainline carrier Cathay Pacific Airways, regional arm Cathay Dragon and budget carrier HK Express. It adds: ""Meanwhile, as previously announced, we will be conducting a comprehensive review of our operations and making a recommendation on the optimum size and shape of the group to the board by the fourth quarter of this year.”",8-Jul-20,"Airlines, Fleets"
7,https://www.flightglobal.com/strategy/auditor-questions-airasia-groups-survival/139189.article,Auditor questions AirAsia Group's survival,"Accounting firm Ernst & Young has questioned the AirAsia Group's ability to remain a going concern, citing deteriorating finances amid the coronavirus pandemic. It notes that the group suffered a full-year net loss of MYR283 million ($66 million) in 2019, a year in which liabilities exceeded assets by MYR1.8 billion. ""In early 2020, the global economy, in particular the commercial airlines industry, faces uncertainty as a result of the unprecedented Covid-19 pandemic,” says Ernst & Young. ""The travel and border restrictions implemented by countries around the world has led to a significant fall in demand for air travel which impacted the Group's financial performance and cash flows. These events or conditions...indicate existence of material uncertainties that may cast significant doubt on the Group's and the Company's ability to continue as a going concern.” The statement accompanied the release of the airline's audited accounts for 2019. After losing money in 2019, AirAsia Group lost MYR953 million in the first quarter, compared with a MYR102 million profit a year earlier. The airline attributed the weakness to the outbreak and weak air travel in February and March as the pandemic intensified. Ernst & Young, however, notes that restrictions on interstate travel and domestic tourism in Southeast Asia provide some relief with improved seat booking and frequencies. It also notes that load factors are ranging between 45-65% in countries where domestic flights have resumed. It adds that the fate of the AirAsia Group depends upon a successful recovery from the pandemic, in addition to a successful outcome of talks with financial institutions and investors. Units AirAsia Philippines and AirAsia Indonesia have also applied for loans. AirAsia Philippines is expected to obtain a government backed loan as part of a local stimulus package. The company is also deferring payment of operating leases, restructuring fuel hedges, and reducing pay. ""The Group is currently in the process of negotiating further waivers or deferrals of lease rentals, and restructuring the remaining fuel hedge exposures with supportive lessors and counterparties,” says Ernst & Young. In the Group's fourth quarter earnings release on 6 July, chief executive Tony Fernandes described the coronavirus crisis as the ""toughest challenge” the airline has faced since it began operations in 2001. He says the group has been restructured into a ""leaner and tighter ship”, reducing cash expenses by at least 50%. He added that the company had received proposals from investment banks and investors in regard to shoring up its capital and liquidity. Cirium fleets data indicates that the AirAsia and AirAsia X orderbooks comprise 479 Airbus narrowbodies and widebodies. Fernandes has said that the Group will take no new aircraft this year.",8-Jul-20,"Airlines, Asia Pacific, Coronavirus, Strategy"
8,https://www.flightglobal.com/strategy/aercap-sees-big-drop-in-q2-lease-agreements/139188.article,AerCap sees big drop in Q2 lease agreements,"Lessor AerCap signed lease agreements covering only 10 aircraft in the second quarter of 2020, down from 48 in the same period last year. The 10 aircraft comprise one widebody and nine narrowbodies, while in Q2 2019 AerCap signed deals for four widebodies and 44 narrowbodies, says the company. Aircraft trading was similarly down. AerCap bought just two Airbus A320neos, whereas in the corresponding quarter last year it bought more than five times the number of aircraft with the purchase of six A320neo family aircraft, four Boeing 787-9s and one Embraer E2. This year, AerCap sold only nine owned aircraft in the second quarter – three A320 family aircraft, five 737NGs and one 757 – compared with 23 aircraft in Q2 2019. Those were nine A320 family aircraft, three A330s, four 737NGs, one 737 Classic, one 777-200ER, one 777-300, two 747s and one 767 from its owned portfolio, as well as one A300 from its managed portfolio. On the other hand, AerCap raised $3 billion funding in the recently concluded quarter, including $2.5 billion of unsecured bonds. This compares with $1.5 billion in ""financing transactions” that were signed in the second quarter of 2019.",8-Jul-20,"Airlines, Strategy"
9,https://www.flightglobal.com/helicopters/us-government-clears-sale-of-vip-black-hawk-to-jordan/139187.article,US government clears sale of VIP Black Hawk to Jordan,"The US government has approved the possible sale of a single Sikorsky UH-60M Black Hawk to Jordan for use as a transport for the country's royalty. The $23 million package covers the helicopter and a range of equipment and services, including a missile warning system, says the US Defense Security Cooperation Agency (DSCA). ""The UH-60M will supplement Jordan's existing Royal Squadron fleet of Black Hawk helicopters and be used to facilitate the movement of the Jordanian Royal Family in a safe and efficient manner,” says the DSCA. ""Jordan already has the UH-60M capability and will have no difficulty absorbing this equipment and services into its armed forces.” Cirium fleets data indicates that the Royal Jordanian Air Force operates 35 UH-60s, with an average age of 11.1 years. Of these, two examples are used for VIP/head of state transport, with these assets 7.3 years of age.",8-Jul-20,"Defence, Helicopters, Middle East"
